,nombre,nombre_asesor,partido,pcia,asesores_masculinos,asesores_femeninos
Giacoppo    Silvia del Rosario,Giacoppo    Silvia del Rosario,"['LILIANA NOEMI', 'ANALIA', 'FEDERICO AUGUSTO DANIEL', 'SONIA ALICIA', 'MARIA ALEJANDRA', 'PABLO EDUARDO', 'MARIA BELEN', 'MARIA I. DEL VALLE', 'GONZALO RUBEN', 'ESTELA LAURA', 'MONICA EVELIN', 'MAXIMILIANO JOSE', 'NORBERTO OSCAR', 'SUSANA', 'HUGO DARIO', 'RUBEN', 'ELOY MANUEL', 'MARTIN NICOLAS', 'ESTEBAN', 'OSCAR GUSTAVO', 'MARCELO ALEJANDRO', 'CAROLINA NADIA', 'JORGE JOAQUIN', 'NATALIA NOEMI']",Frente Jujeño Cambiemos,Jujuy,13,11
González    Gladys Esther,González    Gladys Esther,"['MICAELA', 'YESICA MARIEL', 'CLAUDIA', 'FRANCISCO JAVIER', 'GASTON NICOLAS', 'VICTORIA', 'AMERICA BEATRIZ', 'LUCIANA EUGENIA', 'FEDERICO JOAQUIN', 'JUAN PABLO', 'ARI JULIAN', 'SEBASTIAN DANIEL', 'JUAN AGUSTIN', 'MARIA ALEJANDRA', 'FACUNDO']",Cambiemos Buenos Aires,Buenos Aires,8,7
González    María Teresa Margarita,González    María Teresa Margarita,"['ORLANDO GABRIEL', 'VALERIA ERIKA', 'AGOSTINA LUCIA', 'SEBASTIAN EMILIO', 'FEDERICO', 'JUAN CARLOS', 'LEANDRO', 'ANABELLA YESICA', 'MARCELO DANIEL', 'ALBERTINA', 'CAROLINA INES', 'IVON SOLANGE CONCEPCION', 'SILVIA ALEJANDRA', 'RICARDO DANIEL', 'GABRIEL SERGIO', 'MERCEDES', 'JUAN PABLO', 'SANDRA MABEL', 'MARCOS CEVERINO', 'RAQUEL VIRGINIA', 'SOL MARIA', 'LAURA CECILIA', 'ROCIO NATALIA', 'MARIA TERESA GISELLE']",Frente de la Victoria,Formosa,10,14
González    Nancy Susana,González    Nancy Susana,"['NAYLA VICTORIA', 'JUAN ANDRES', 'DIEGO GUILLERMO', 'MARIA JOSE', 'PABLO GUILLERMO', 'SOL ALTAIR', 'CAMILA ANDREA', 'NATALIA ROMINA', 'MARIA FLORENCIA', 'LAUTARO MATIAS', 'WALDEMAR', 'CLAUDIA VANESA', 'MAXIMILIANO DANIEL', 'JULIA', 'MIGUEL', 'JULIO MARTIN', 'MARIA HINDU', 'MARCELO ALEJANDRO']",Alianza Frente para la Victoria,Chubut,9,9
Guastavino    Pedro Guillermo Ángel,Guastavino    Pedro Guillermo Ángel,"['JUAN ALBERTO', 'XIMENA MARTA', 'MAGDALENA', 'ALEJANDRA INES', 'MARIA ALEJANDRA', 'BERNARDINO', 'SEBASTIAN ELADIO', 'SANDRA MARISA', 'RUBEN JORGE', 'HERNAN ALFREDO', 'MARTIN ERNESTO', 'IRENEO', 'MARIANA', 'GISELA', 'SILVINA EUGENIA', 'MARIA DE LOS MILAGROS', 'ANA LAURA', 'MARIANA', 'LUIS ALBERTO', 'ARGENTINA PATRICIA', 'FELIPE', 'JORGE EDUARDO', 'LUCIANO MAURICIO', 'PABLO']",Frente para la Victoria,Entre Ríos,12,12
Ianni    Ana María,Ianni    Ana María,"['CINTHYA NOEMI', 'MARCELO DAMIAN', 'MARIA DANIELA', 'VERONICA ALEJANDRA', 'MARIA INES', 'VICTOR MAXIMILIANO', 'VALERIA', 'ADRIAN GUSTAVO', 'MARIA CAROLINA', 'FERNANDO RODOLFO', 'VANINA GISEL', 'SEBASTIAN RAUL MARIO', 'SERGIO EDUARDO', 'MOIRA NATALIA', 'GUSTAVO FERNANDO', 'JUAN CARLOS', 'MATIAS ALBERTO', 'MARIA DE LOS ANGELES', 'ESTEBAN DANIEL', 'NICOLAS MARTIN']",Frente para la Victoria,Santa Cruz,11,9
Itúrrez de Cappellini    Ada Rosa Del Valle,Itúrrez de Cappellini    Ada Rosa Del Valle,"['HEBE LUZ', 'ISOLDA', 'GERARDO ENRIQUE', 'CARLOS JULIO', 'FERNANDO ARIEL', 'SANDRA JOSEFINA', 'LARA EVA', 'JOHANNA FLORENCIA', 'GUILLERMO ALEJANDRO', 'SARA HERMINIA', 'MARTA VIRGINIA', 'LILIANA BEATRIZ', 'DIEGO FABIAN', 'ELVA BEATRIZ', 'MABEL BEATRIZ', 'ALEJANDRO JOSE', 'TERESA DEL VALLE', 'PABLO MARIANO', 'LUCIANO GASTON', 'ROBERTO', 'HUGO ANTONIO', 'JOSE LUIS', 'MARIANA LUCIA', 'RODOLFO LINO', 'MARIELA ALEJANDRA', 'CLAUDIA PATRICIA', 'RAFAEL ARCANGEL', 'WALTER FELIPE', 'CRISTIAN ARIEL', 'JORGE ERNESTO', 'LIDIA MARCELA', 'YESICA BELEN', 'AAGO PETER']",Frente Cívico por Santiago,Santiago del Estero,16,16
Kunath    Sigrid Elisabeth,Kunath    Sigrid Elisabeth,"['CAMILA INES', 'NORA GLORIA', 'MONICA BEATRIZ', 'LAURA YOLANDA', 'MARIA CLAUDIA', 'NATALIA', 'ESTANISLAO', 'MAX', 'MELINA BELÉN', 'GONZALO AGUSTIN', 'LUISINA', 'CAMILA', 'GASTON RAUL', 'PATRICIA ELIANA']",Frente para la Victoria,Entre Ríos,4,10
López Valverde    Cristina del Carmen,López Valverde    Cristina del Carmen,"['ALEXIS AUGUSTO', 'MARIELA JULIA GUILLERMINA', 'MARIANA', 'EDUARDO MAURICIO', 'MARTA LUZ', 'JOSE EMILIO', 'CECILIA', 'FLORENCIA', 'DANIELA', 'JOSE MANUEL', 'JENNIFER NATALIA', 'VALERIA SOLEDAD', 'MARIANA FERNANDA', 'DARIO JAVIER', 'LORENA VERONICA', 'JULIA', 'MARIA ELISA']",Frente Todos,San Juan,5,12
Lovera    Daniel Aníbal,Lovera    Daniel Aníbal,"['WALTER MARIO', 'MAURICIO AGUSTIN', 'CARLOS ALBERTO', 'SILVIA DEL CARMEN', 'GUILLERMO JESUS', 'AGUSTIN FEDERICO', 'ALEJANDRA', 'ROMINA', 'DIEGO MARTIN', 'MARIANA ISABEL', 'PAMELA ELEONORA', 'MARCELO ENRIQUE', 'NORBERTO ANGEL', 'JOSE FRANCISCO', 'DIEGO LUCIANO', 'LUIS MARIA', 'MARIA PATRICIA', 'LILIANA', 'MARIA CAROLINA', 'MARIANA', 'NINO SERGIO']",Alianza Frente P/Victoria (Peronismo Pampeano),La Pampa,12,9
